order_id,order_line_id,product_id,base_price,quantity,rebate,currency,order_datetime,order_status,customer_id
336579,8137,21789,67.09,6,4.08,EUR,2023-04-19 18:53:37,COMPLETED,4985
313226,2302,81373,30.55,5,7.79,USD,2023-06-28 09:46:14,CANCELLED,1797
435167,8392,63906,92.23,6,9.39,EUR,2023-05-23 07:17:15,WAITING_PAYMENT,1453
189446,526,75523,11.48,9,0.27,EUR,2023-05-17 14:18:39,SHIPPED,7967
787546,6107,84412,80.05,10,7.67,EUR,2023-03-12 18:34:11,SHIPPED,4438
323404,7690,63411,32.64,9,1.74,EUR,2023-05-14 22:40:22,PROCESSING,5806
680309,8727,86217,20.15,8,5.92,EUR,2023-04-20 04:39:50,WAITING_PAYMENT,2753
704800,6455,88363,27.27,6,2.77,EUR,2023-01-22 18:30:00,WAITING_PAYMENT,1534
358280,5893,98543,29.45,1,2.48,EUR,2023-01-23 02:12:56,SHIPPED,6426
849712,7446,76064,71.36,10,5.32,EUR,2023-06-07 10:24:39,SHIPPED,5797
204095,4491,66818,63.23,7,9.11,EUR,2023-03-14 14:01:27,WAITING_PAYMENT,3385
783668,3677,71292,81.55,6,3.5,EUR,2023-03-01 07:42:01,COMPLETED,535
345302,6065,58,31.07,4,8.31,EUR,2023-05-29 08:10:58,PROCESSING,8998
320333,3675,32853,32.8,6,7.08,EUR,2023-06-15 15:04:57,SHIPPED,769
430692,7537,49663,68.91,4,1.41,EUR,2023-05-30 19:06:27,CANCELLED,2497
920862,9307,52349,37.48,10,6.52,EUR,2023-03-27 15:11:01,COMPLETED,1219
544367,3668,43680,77.3,1,1.49,EUR,2023-04-20 06:48:38,WAITING_PAYMENT,9112
584805,2808,37726,55.36,8,6.92,EUR,2023-04-03 20:12:51,SHIPPED,1884
481,8802,71283,32.58,5,2.53,EUR,2023-06-08 09:24:56,PROCESSING,8656
573010,2122,25264,84.62,2,5.03,EUR,2023-03-24 05:29:43,COMPLETED,39
247584,623,67864,63.39,7,6.28,EUR,2023-01-02 04:53:55,CANCELLED,3584
604995,89,84789,93.99,1,7.55,EUR,2023-04-10 06:57:08,COMPLETED,274
379983,7613,31465,17.24,3,9.44,EUR,2023-04-06 08:19:29,PROCESSING,5858
398180,6181,31535,83.21,5,4.4,EUR,2023-06-11 01:46:42,WAITING_PAYMENT,8968
129402,6338,38543,27.91,5,3.74,USD,2023-04-14 11:25:34,WAITING_PAYMENT,4728
966934,4639,54342,62.57,10,5.42,USD,2023-06-02 04:41:40,CANCELLED,2879
916892,5873,99840,37.8,7,0.95,EUR,2023-04-22 14:54:21,WAITING_PAYMENT,840
632309,321,61832,52.75,1,8.75,EUR,2023-01-23 17:16:18,COMPLETED,353
611858,8233,96394,47.09,5,6.11,EUR,2023-05-07 16:25:07,CANCELLED,7296
182650,9996,90346,48.97,1,5.84,EUR,2023-02-19 01:49:57,PROCESSING,1107
472812,9020,53764,46.73,7,0.18,EUR,2023-03-02 15:23:55,SHIPPED,9449
932373,2597,26210,32.28,4,1.53,EUR,2023-05-02 23:38:49,SHIPPED,3666
621460,4625,85323,63.51,2,0.53,EUR,2023-06-20 07:34:27,COMPLETED,6228
396714,6600,2108,43.16,10,8.62,EUR,2023-03-05 06:29:52,PROCESSING,2081
455828,283,59626,38.51,9,2.2,EUR,2023-06-07 02:49:10,PROCESSING,2363
987872,74,90535,73.55,6,5.36,EUR,2023-02-09 09:46:54,COMPLETED,4002
827503,523,43000,27.64,9,6.15,EUR,2023-02-22 05:27:02,PROCESSING,5093
213463,8517,89155,75.82,10,0.08,EUR,2023-03-21 01:49:23,SHIPPED,8423
955633,5265,66730,49.6,6,6.83,EUR,2023-04-18 06:22:11,WAITING_PAYMENT,871
734815,3915,55047,63.57,9,0.49,EUR,2023-03-08 20:44:02,SHIPPED,9735
898283,4420,88497,32.21,1,8.93,EUR,2023-04-29 01:17:03,COMPLETED,7613
819680,2544,73855,79.52,10,8.7,EUR,2023-05-18 05:24:34,SHIPPED,8216
233021,4443,92263,76.3,2,2.88,EUR,2023-05-11 10:39:11,COMPLETED,6725
62878,1476,12539,70.83,9,8.83,EUR,2023-04-03 17:34:34,WAITING_PAYMENT,8974
196853,8066,38756,14.91,7,2.78,EUR,2023-02-01 00:13:46,WAITING_PAYMENT,4795
281602,956,96889,53.84,4,1.02,EUR,2023-06-04 18:21:38,CANCELLED,7671
170068,9080,77675,71.58,1,2.77,EUR,2023-04-12 06:18:13,WAITING_PAYMENT,7754
224008,9522,22007,10.3,5,1.79,EUR,2023-04-21 18:53:43,PROCESSING,5668
107287,4536,57074,54.86,2,2.5,EUR,2023-04-27 11:58:40,WAITING_PAYMENT,6765
239873,2053,68570,81.8,4,9.3,EUR,2023-05-10 08:06:56,SHIPPED,5365
731775,6235,99964,92.59,4,5.94,EUR,2023-01-09 12:47:41,CANCELLED,9819
417685,6599,9503,13.37,9,5.46,EUR,2023-05-18 02:36:17,COMPLETED,2471
146081,1956,93152,93.79,7,8.8,EUR,2023-02-19 22:57:48,WAITING_PAYMENT,1865
974246,6871,13393,74.58,7,6.12,EUR,2023-05-11 12:50:10,CANCELLED,5480
945836,5172,74529,37.7,7,4.28,EUR,2023-03-23 06:18:05,PROCESSING,1672
608795,1635,62317,61.69,1,3.4,EUR,2023-04-13 07:57:25,SHIPPED,7765
13993,8798,34671,25.15,7,9.36,USD,2023-01-24 11:21:37,COMPLETED,2162
590363,7097,42661,62.28,4,8.53,EUR,2023-01-13 00:27:10,SHIPPED,3098
425398,6719,38097,66.68,3,8.49,EUR,2023-01-22 17:28:09,SHIPPED,7305
961489,2752,63532,51.65,7,2.34,EUR,2023-01-26 03:18:20,WAITING_PAYMENT,9386
176684,6469,34835,82.17,10,1.38,EUR,2023-01-03 20:18:16,CANCELLED,7462
130546,1801,99759,17.39,10,8.75,EUR,2023-04-20 22:01:14,WAITING_PAYMENT,7929
222548,9544,87357,77.21,9,8.1,EUR,2023-03-21 04:09:37,PROCESSING,9830
871598,8733,958,57.14,4,5.86,EUR,2023-01-19 04:26:20,WAITING_PAYMENT,3353
605100,1453,69348,83.68,10,6.58,EUR,2023-01-09 21:23:09,SHIPPED,1870
764964,3167,87560,58.51,4,9.68,EUR,2023-06-14 17:30:11,PROCESSING,8345
698639,6782,50710,98.77,10,9.8,EUR,2023-03-09 05:48:28,COMPLETED,3453
457097,3053,92506,43.21,2,8.89,EUR,2023-02-13 01:58:01,WAITING_PAYMENT,9205
353999,4731,26778,13.03,3,2.72,EUR,2023-03-17 14:22:13,WAITING_PAYMENT,631
839450,2961,53505,76.37,7,3.34,EUR,2023-01-06 06:34:48,PROCESSING,2682
106751,7598,84251,42.35,2,3.38,EUR,2023-02-25 14:02:20,COMPLETED,6112
517860,3388,63392,92.84,1,5.36,EUR,2023-06-16 01:10:37,SHIPPED,4820
560198,7111,50444,89.71,2,8.83,EUR,2023-03-04 02:46:10,WAITING_PAYMENT,212
927672,4200,50430,41.57,1,6.86,EUR,2023-04-29 13:20:33,SHIPPED,3698
877349,6474,9546,82.5,4,6.11,EUR,2023-05-20 00:28:22,WAITING_PAYMENT,2
678648,9718,91971,68.49,8,9.05,EUR,2023-02-02 18:22:48,PROCESSING,9877
261016,5356,20371,26.21,2,3.67,EUR,2023-04-18 16:32:24,PROCESSING,4632
77757,7185,9086,74.35,5,2.41,EUR,2023-06-03 15:56:15,COMPLETED,2483
842970,4739,77598,69.96,4,1.13,USD,2023-03-17 16:17:30,CANCELLED,6588
692830,8310,44006,71.79,8,8.81,EUR,2023-06-29 08:37:37,PROCESSING,8417
752638,178,53649,11.43,8,5.73,EUR,2023-01-22 11:00:51,CANCELLED,7794
365311,6562,63478,63.03,1,2.35,EUR,2023-05-23 06:23:02,CANCELLED,1010
901598,3756,82379,77.37,9,7.41,EUR,2023-04-04 07:36:19,CANCELLED,8108
995999,3259,11150,95.71,8,0.33,EUR,2023-04-13 01:01:55,SHIPPED,535
312975,8645,72579,32.0,10,9.57,EUR,2023-03-19 16:13:34,COMPLETED,1116
77115,2137,29406,90.89,1,3.46,EUR,2023-05-05 20:30:20,PROCESSING,6222
481314,8991,72656,24.9,3,2.55,USD,2023-02-10 18:33:51,CANCELLED,6718
902586,4579,19895,71.8,7,9.17,EUR,2023-03-23 12:14:39,WAITING_PAYMENT,999
901211,3609,16836,40.88,1,8.39,EUR,2023-01-23 12:15:35,SHIPPED,2965
283493,2298,47605,70.43,4,9.62,EUR,2023-04-08 00:59:15,COMPLETED,6276
866505,6329,84979,90.81,9,1.68,EUR,2023-05-10 10:19:11,SHIPPED,3433
603565,5441,99571,52.94,1,6.6,EUR,2023-06-04 01:26:40,SHIPPED,1962
594341,2515,34182,72.74,9,2.31,EUR,2023-04-10 09:22:58,WAITING_PAYMENT,6804
998700,4257,5411,29.56,5,7.58,EUR,2023-06-29 00:26:15,SHIPPED,4586
588146,7138,60420,13.88,2,7.36,EUR,2023-02-16 14:20:55,CANCELLED,3414
63729,8977,22758,86.55,8,2.52,EUR,2023-02-16 17:02:58,WAITING_PAYMENT,1
638610,537,78093,82.54,10,5.6,EUR,2023-01-09 04:51:12,PROCESSING,5482
749012,4111,69675,44.56,9,9.93,EUR,2023-06-24 21:13:44,PROCESSING,6299
210882,4338,5236,31.99,4,6.48,EUR,2023-06-04 16:07:55,WAITING_PAYMENT,4356
902541,7521,21096,31.42,9,3.39,EUR,2023-05-24 07:40:19,PROCESSING,9606
589422,721,8911,56.77,7,5.33,EUR,2023-06-22 05:49:19,SHIPPED,3297
142966,3924,24357,45.79,10,7.21,EUR,2023-01-03 23:49:30,CANCELLED,2827
470028,7268,47051,10.48,9,7.98,USD,2023-02-02 04:56:45,SHIPPED,4564
476460,1242,78662,96.07,2,2.9,EUR,2023-04-09 09:11:56,COMPLETED,7543
182102,4569,87539,11.91,6,1.98,EUR,2023-02-11 01:15:30,CANCELLED,3779
845047,7354,59446,99.77,5,2.67,EUR,2023-02-07 10:19:16,CANCELLED,9088
628421,7830,93196,86.51,2,2.22,USD,2023-05-12 07:39:40,CANCELLED,9236
987343,3612,19432,22.28,4,1.04,EUR,2023-05-25 15:06:20,PROCESSING,7818
148350,4291,18119,17.68,10,7.53,EUR,2023-03-10 04:50:24,CANCELLED,3151
318978,2662,18819,34.49,9,6.91,USD,2023-05-08 12:26:42,CANCELLED,9656
873091,1338,66710,16.28,6,2.95,EUR,2023-03-02 15:02:49,CANCELLED,8923
480211,3392,36459,22.44,2,6.28,EUR,2023-05-20 07:16:03,COMPLETED,3266
389580,5748,21965,99.44,9,7.3,EUR,2023-03-27 23:43:55,PROCESSING,4861
398429,8672,52605,36.22,2,4.91,EUR,2023-02-07 01:09:32,COMPLETED,1939
646237,9479,53531,83.74,7,4.29,EUR,2023-06-29 02:10:51,WAITING_PAYMENT,4097
794798,9324,600,17.88,1,8.4,EUR,2023-04-29 15:36:04,SHIPPED,5455
478113,9783,45353,33.72,1,0.97,EUR,2023-03-18 12:01:08,CANCELLED,2590
723611,2491,42085,89.07,8,8.84,EUR,2023-02-12 14:45:17,SHIPPED,8972
268371,3584,31155,94.54,8,0.87,USD,2023-02-18 07:57:29,WAITING_PAYMENT,4744
343674,2937,52217,80.62,7,9.48,EUR,2023-05-17 20:22:38,WAITING_PAYMENT,4399
458461,9046,62098,71.21,3,5.67,EUR,2023-06-02 09:51:16,COMPLETED,8877
641675,5453,4441,28.07,7,3.07,EUR,2023-06-02 08:26:42,PROCESSING,5319
207491,6638,78454,32.16,5,1.31,EUR,2023-06-15 13:19:15,COMPLETED,5235
597456,4029,66199,14.64,7,3.48,EUR,2023-06-14 12:55:57,CANCELLED,4440
106995,9073,24909,69.18,6,7.26,EUR,2023-02-16 10:34:58,PROCESSING,5635
977974,7020,57600,60.84,2,3.54,EUR,2023-01-24 13:11:08,WAITING_PAYMENT,1866
776360,7460,83661,21.78,3,8.68,EUR,2023-06-07 09:34:17,PROCESSING,1286
777332,1028,61544,46.44,7,7.8,EUR,2023-02-01 15:01:02,PROCESSING,854
152892,5155,88060,78.41,8,5.39,EUR,2023-06-02 16:56:55,PROCESSING,3026
705765,5487,22999,79.65,6,2.58,EUR,2023-06-11 10:42:31,WAITING_PAYMENT,5717
183571,9289,19486,63.08,10,1.97,EUR,2023-06-06 08:42:24,COMPLETED,4523
418269,9142,24275,86.76,5,2.73,EUR,2023-02-01 06:59:55,WAITING_PAYMENT,731
23685,773,38398,33.15,2,0.48,EUR,2023-03-14 16:25:51,COMPLETED,8049
338956,8869,80817,44.75,1,8.54,EUR,2023-02-25 22:08:26,WAITING_PAYMENT,9961
24451,2701,22385,54.37,4,2.88,EUR,2023-02-04 11:25:03,CANCELLED,3774
106215,7948,14087,22.99,6,7.83,EUR,2023-03-05 23:04:50,PROCESSING,2170
177068,2215,50489,84.55,4,2.79,EUR,2023-05-27 16:09:50,COMPLETED,7649
60086,4927,63033,92.5,7,9.8,EUR,2023-02-04 01:45:56,WAITING_PAYMENT,580
36115,8970,46187,35.7,7,9.18,EUR,2023-01-14 15:17:45,PROCESSING,7396
77861,9393,14168,33.06,3,4.04,USD,2023-02-25 22:32:34,PROCESSING,7475
183040,3596,17415,14.97,7,5.27,EUR,2023-01-25 05:36:43,WAITING_PAYMENT,4843
229203,9869,62147,28.96,3,9.3,EUR,2023-03-01 19:40:08,COMPLETED,5848
17981,609,76510,43.26,4,7.11,EUR,2023-05-05 05:40:15,CANCELLED,4892
96020,2868,4327,42.24,9,4.95,EUR,2023-04-15 17:46:16,COMPLETED,6120
148496,1884,16936,33.96,5,8.22,EUR,2023-04-24 03:41:45,COMPLETED,8583
895121,1199,71858,98.32,8,2.72,EUR,2023-02-22 22:21:31,CANCELLED,5932
736813,8294,90936,88.18,6,4.64,EUR,2023-03-17 10:43:40,PROCESSING,8001
652192,4210,1397,42.48,5,2.74,EUR,2023-02-12 08:17:10,PROCESSING,6604
926966,465,45607,96.32,4,4.18,EUR,2023-04-28 20:58:21,CANCELLED,7776
258532,1144,3924,65.22,3,5.06,EUR,2023-03-07 20:01:15,PROCESSING,358
680010,1846,46414,98.14,5,4.1,EUR,2023-01-31 16:02:38,SHIPPED,20
252924,3014,37448,50.48,1,0.1,EUR,2023-03-17 18:44:35,WAITING_PAYMENT,6416
807818,5672,38825,72.55,6,2.66,EUR,2023-05-17 00:44:58,SHIPPED,6986
723103,4503,96755,54.14,3,3.75,EUR,2023-03-23 06:03:49,CANCELLED,4730
408383,5621,77612,30.23,8,0.9,EUR,2023-02-04 00:13:50,WAITING_PAYMENT,5256
928525,9637,12890,65.56,4,4.16,EUR,2023-01-01 07:09:39,CANCELLED,7525
819337,7229,45448,39.49,1,9.04,EUR,2023-05-24 22:25:33,COMPLETED,3814
944099,1904,76902,91.18,4,2.37,EUR,2023-02-01 19:09:09,COMPLETED,6300
17257,2860,95541,16.97,9,0.41,EUR,2023-05-07 03:54:29,COMPLETED,7714
63883,6417,65003,79.27,2,8.75,EUR,2023-05-25 06:49:39,CANCELLED,9384
297619,4660,30996,91.5,5,1.15,EUR,2023-06-08 10:19:28,CANCELLED,8168
703109,2951,23838,95.43,3,8.19,EUR,2023-04-14 19:41:59,WAITING_PAYMENT,7639
690681,3047,89086,70.6,3,0.95,EUR,2023-02-20 14:37:55,SHIPPED,5061
248893,5938,47807,65.57,7,7.69,EUR,2023-03-25 18:54:28,PROCESSING,2574
205243,4202,27666,92.76,9,5.86,EUR,2023-03-27 14:28:35,PROCESSING,6952
730596,2564,24424,21.21,2,7.25,EUR,2023-04-13 10:15:03,CANCELLED,7672
347726,4954,9525,31.94,10,3.43,EUR,2023-06-03 07:42:25,COMPLETED,6619
98474,4688,73440,68.17,3,8.02,EUR,2023-05-11 02:48:52,WAITING_PAYMENT,6236
239746,486,18817,51.82,4,3.27,EUR,2023-06-16 07:52:55,PROCESSING,9017
985354,13,76310,98.24,2,1.32,EUR,2023-05-22 18:35:27,WAITING_PAYMENT,6397
926293,925,74289,49.05,5,3.27,EUR,2023-01-24 01:01:42,WAITING_PAYMENT,1849
393330,8555,91521,81.94,4,9.1,EUR,2023-04-23 20:26:37,CANCELLED,8120
918564,8568,53151,51.31,9,5.75,EUR,2023-05-20 18:28:55,CANCELLED,4825
123631,7170,51784,74.17,10,4.57,EUR,2023-01-17 15:03:03,CANCELLED,7916
569569,1010,85171,98.35,1,4.15,EUR,2023-06-11 19:19:17,SHIPPED,9663
837806,4229,30544,62.35,8,0.84,EUR,2023-02-11 10:39:03,WAITING_PAYMENT,2964
643613,1392,25855,19.93,8,1.5,USD,2023-03-29 12:40:27,WAITING_PAYMENT,40
286039,1392,54595,62.06,1,7.62,EUR,2023-04-27 06:31:46,CANCELLED,2597
257875,3203,59611,39.73,5,9.71,EUR,2023-03-28 03:49:55,SHIPPED,6519
644184,6959,43810,32.6,6,4.48,EUR,2023-01-21 06:36:10,CANCELLED,7530
306967,7929,26768,38.56,10,6.08,EUR,2023-03-04 03:10:06,SHIPPED,7942
985787,8913,97942,81.51,3,3.04,EUR,2023-06-20 23:43:57,PROCESSING,1638
865652,7386,62791,34.16,6,3.36,EUR,2023-04-19 12:48:51,SHIPPED,6867
385423,3573,53321,45.35,1,6.8,EUR,2023-01-15 09:14:34,CANCELLED,9416
824266,1661,86985,48.94,8,2.41,EUR,2023-05-23 21:53:47,SHIPPED,1185
923871,2644,14179,84.7,1,9.96,EUR,2023-04-24 14:50:44,SHIPPED,9925
817560,7373,14855,93.82,7,5.52,EUR,2023-02-21 09:09:45,WAITING_PAYMENT,1724
58233,4582,53912,50.98,7,0.42,EUR,2023-02-22 20:42:27,SHIPPED,5027
421499,1404,8397,15.56,1,2.03,EUR,2023-02-15 05:25:57,COMPLETED,3012
209498,5132,53378,59.9,9,2.47,EUR,2023-06-20 15:39:34,CANCELLED,1837
446956,9223,23022,57.34,5,6.48,EUR,2023-05-01 08:21:03,CANCELLED,8437
25167,99,50849,47.06,6,3.69,EUR,2023-02-06 03:15:29,SHIPPED,2075
370807,530,90834,93.68,3,8.14,EUR,2023-01-18 04:43:51,PROCESSING,4308
659663,9949,48577,98.85,5,4.99,EUR,2023-02-03 21:19:30,COMPLETED,8217
44009,629,68029,76.04,7,2.76,EUR,2023-01-26 06:19:36,SHIPPED,859
857890,7710,50359,37.19,9,8.71,EUR,2023-06-06 02:32:31,PROCESSING,8839
859246,9809,31410,32.48,9,6.0,EUR,2023-02-01 10:57:02,COMPLETED,1469
886020,5788,81600,34.97,3,0.97,EUR,2023-04-06 12:24:29,SHIPPED,5335
137937,6166,43847,71.58,3,3.2,EUR,2023-06-06 04:08:21,WAITING_PAYMENT,7847
271923,4010,224,60.19,5,0.69,EUR,2023-06-01 13:08:55,SHIPPED,1284
149503,3799,80660,45.27,8,2.47,EUR,2023-02-08 12:35:18,COMPLETED,4893
338723,1342,73374,26.77,9,4.14,EUR,2023-01-22 18:17:20,SHIPPED,936
854055,6885,88682,36.55,8,7.5,EUR,2023-06-03 12:04:36,CANCELLED,1068
651498,2475,73112,33.77,5,6.86,EUR,2023-02-21 01:35:51,WAITING_PAYMENT,727
904385,4609,40189,98.76,9,9.73,EUR,2023-01-22 20:14:27,PROCESSING,5223
522359,2694,27951,80.66,4,7.69,EUR,2023-06-07 10:39:13,COMPLETED,932
559260,1321,86839,13.95,1,2.29,EUR,2023-04-24 21:47:44,PROCESSING,44
472865,6010,85965,43.5,5,3.1,EUR,2023-01-14 20:20:15,WAITING_PAYMENT,851
823691,544,4994,20.03,5,3.07,EUR,2023-05-11 06:25:15,CANCELLED,5990
559119,9619,6638,46.13,2,4.94,EUR,2023-06-24 16:02:25,WAITING_PAYMENT,3886
999789,5857,25618,21.41,8,0.25,EUR,2023-05-04 21:44:34,CANCELLED,9409
945073,8043,51844,29.17,5,2.32,EUR,2023-01-05 06:16:32,WAITING_PAYMENT,6005
931023,1179,27244,42.83,5,9.87,EUR,2023-03-30 19:03:25,WAITING_PAYMENT,6685
123951,3915,34915,14.63,5,5.29,EUR,2023-05-31 13:53:44,COMPLETED,6855
487772,4996,9876,84.51,2,8.66,EUR,2023-03-21 18:35:40,WAITING_PAYMENT,9356
684509,3020,34926,84.29,8,4.1,EUR,2023-03-21 21:38:35,PROCESSING,3454
582230,6464,15429,25.45,9,9.26,EUR,2023-03-08 04:27:33,PROCESSING,1268
495140,8202,56510,41.79,8,1.84,EUR,2023-01-23 02:45:43,COMPLETED,2836
410297,9011,45652,16.35,7,3.76,EUR,2023-01-07 02:59:23,PROCESSING,3787
912921,9367,63593,34.71,10,8.12,EUR,2023-01-19 05:14:33,WAITING_PAYMENT,1091
224279,4084,31648,80.11,1,8.45,EUR,2023-06-06 12:42:56,SHIPPED,773
118996,9720,98434,53.42,7,3.34,EUR,2023-02-22 18:18:56,SHIPPED,2303
286741,5822,24459,34.78,7,9.31,EUR,2023-04-28 19:30:55,COMPLETED,2530
623235,3930,52946,71.68,8,0.48,EUR,2023-01-19 01:21:42,PROCESSING,6200
520496,1361,2899,62.03,6,7.9,EUR,2023-03-11 12:53:34,CANCELLED,8563
411800,8857,9940,48.08,10,8.76,EUR,2023-03-26 08:58:24,SHIPPED,915
739678,6063,52874,51.73,9,8.72,EUR,2023-04-13 09:36:00,WAITING_PAYMENT,9071
978688,8005,95131,85.79,3,5.3,EUR,2023-04-27 15:19:35,SHIPPED,4018
103285,522,36779,75.33,5,2.24,EUR,2023-03-02 02:00:25,CANCELLED,1527
427224,7433,21921,35.12,7,6.73,EUR,2023-02-08 21:49:58,COMPLETED,6752
443996,9383,47781,12.77,7,8.0,EUR,2023-02-15 07:04:07,WAITING_PAYMENT,7619
579738,7394,33009,33.65,9,4.11,EUR,2023-04-23 20:30:51,SHIPPED,5284
17070,4108,25700,17.35,9,0.98,USD,2023-01-15 02:20:39,WAITING_PAYMENT,9002
86139,4091,8076,21.79,6,9.65,EUR,2023-05-12 05:47:15,SHIPPED,2264
222943,5767,13577,97.67,6,9.61,EUR,2023-03-16 23:45:49,CANCELLED,5439
220233,9740,51399,43.54,2,7.44,USD,2023-04-24 21:00:12,COMPLETED,6945
360799,2885,69354,99.31,8,7.41,EUR,2023-05-27 17:36:59,COMPLETED,6458
38568,1371,61985,76.5,8,0.99,EUR,2023-06-11 17:19:51,SHIPPED,8861
857973,7692,80582,74.44,2,2.27,EUR,2023-03-30 23:38:30,CANCELLED,3041
348437,2654,70106,63.66,7,5.56,EUR,2023-03-27 22:21:31,WAITING_PAYMENT,5739
315077,2828,96898,96.25,8,7.18,EUR,2023-05-28 17:46:30,SHIPPED,2443
529891,3222,24828,65.19,6,2.5,EUR,2023-03-27 23:12:58,WAITING_PAYMENT,9456
575608,3813,95540,98.48,7,9.39,EUR,2023-03-11 22:53:03,WAITING_PAYMENT,759
598493,2969,33506,19.34,4,8.26,EUR,2023-02-20 16:23:21,PROCESSING,9450
911505,299,13258,39.29,3,3.76,EUR,2023-04-11 18:18:17,SHIPPED,5400
1744,1538,13294,41.84,4,0.8,EUR,2023-06-03 19:15:32,PROCESSING,6074
279383,4281,6600,63.65,2,5.0,EUR,2023-03-01 12:55:10,SHIPPED,4156
566032,6966,16484,66.67,1,5.2,EUR,2023-03-14 08:09:52,COMPLETED,9339
669105,1809,9640,23.21,8,8.46,EUR,2023-04-21 11:25:24,PROCESSING,4403
704982,3162,53335,83.05,4,1.94,EUR,2023-05-01 23:42:17,PROCESSING,7859
224366,1248,90633,70.64,4,3.56,EUR,2023-04-19 09:35:08,COMPLETED,2241
852563,5343,52857,60.12,2,0.21,EUR,2023-02-20 16:36:50,SHIPPED,1137
551314,8972,38640,35.14,1,4.22,EUR,2023-06-14 06:38:48,CANCELLED,4032
319306,1519,54145,81.32,6,0.91,EUR,2023-05-22 18:47:59,PROCESSING,2331
617194,9993,46812,72.13,3,0.46,EUR,2023-06-26 16:29:21,WAITING_PAYMENT,7035
253803,5112,50522,64.4,2,9.78,EUR,2023-06-10 02:45:30,COMPLETED,4251
801546,6567,43163,72.8,10,0.11,EUR,2023-06-24 03:48:46,CANCELLED,5625
50457,8191,20499,97.12,7,7.9,EUR,2023-04-13 12:57:35,CANCELLED,181
342756,507,79563,93.39,3,8.99,EUR,2023-03-16 04:21:23,SHIPPED,7435
465371,7799,12871,94.59,8,4.73,EUR,2023-06-25 06:53:15,CANCELLED,1579
610830,9303,59627,36.82,7,4.59,EUR,2023-04-12 02:14:08,SHIPPED,896
685498,7092,31651,60.91,1,0.31,EUR,2023-04-17 02:14:21,SHIPPED,8773
253707,5015,26631,20.56,7,4.8,EUR,2023-01-16 11:53:50,SHIPPED,4345
175331,8207,62148,85.03,9,7.3,EUR,2023-03-02 19:46:17,PROCESSING,3618
128937,5730,22341,47.56,5,6.36,EUR,2023-03-19 23:15:14,SHIPPED,7795
707537,8384,52590,74.77,6,7.22,USD,2023-01-26 17:59:20,COMPLETED,1540
457434,8250,1605,63.18,6,0.92,EUR,2023-02-15 15:40:19,WAITING_PAYMENT,1194
280174,1639,12767,66.51,5,6.85,EUR,2023-04-20 21:09:30,COMPLETED,4135
380140,4828,86778,69.56,10,6.22,EUR,2023-02-16 22:55:13,WAITING_PAYMENT,7796
495132,4361,98159,27.32,8,9.27,EUR,2023-03-11 23:15:42,COMPLETED,1778
794110,158,262,77.06,4,6.66,EUR,2023-02-02 03:17:15,COMPLETED,838
200013,8579,72707,59.33,6,6.32,EUR,2023-02-16 14:04:13,SHIPPED,4459
986336,3959,71034,18.5,4,9.55,EUR,2023-02-17 03:16:55,WAITING_PAYMENT,24
126123,8976,9339,57.95,9,1.64,EUR,2023-02-20 13:39:12,WAITING_PAYMENT,6317
